Temp,Densidad,Calor Esp,Cond. Ter.,Dif. Ter.,Visc. Din.,Visc. Cin,Numero de Prandtl
1745,0.1776,1249,0.10341,4.7684E-04,0.00006215,0.000358252,0.7508
1746,0.1775,1249,0.10344,4.7720E-04,0.00006217,0.0003585216,0.7508
1747,0.1774,1249,0.10347,4.7755E-04,0.00006219,0.0003587912,0.7508
1748,0.1773,1249,0.10350,4.7790E-04,0.00006220,0.0003590608,0.7508
1749,0.1772,1249,0.10353,4.7825E-04,0.00006222,0.0003593304,0.7508
1750,0.1772,1249,0.10356,4.7860E-04,0.00006224,0.0003596,0.7509
1751,0.1771,1249,0.10359,4.7895E-04,0.00006225,0.0003598696,0.7509
1752,0.1770,1249,0.10362,4.7930E-04,0.00006227,0.0003601392,0.7509
1753,0.1769,1249,0.10365,4.7965E-04,0.00006228,0.0003604088,0.7509
1754,0.1768,1249,0.10368,4.8000E-04,0.00006230,0.0003606784,0.7509
1755,0.1767,1249,0.10371,4.8036E-04,0.00006232,0.000360948,0.7509
1756,0.1766,1249,0.10374,4.8071E-04,0.00006233,0.0003612176,0.7509
1757,0.1765,1249,0.10377,4.8106E-04,0.00006235,0.0003614872,0.7509
1758,0.1765,1249,0.10380,4.8141E-04,0.00006237,0.0003617568,0.7509
1759,0.1764,1250,0.10383,4.8176E-04,0.00006238,0.0003620264,0.7510
1760,0.1763,1250,0.10386,4.8211E-04,0.00006240,0.000362296,0.7510
1761,0.1762,1250,0.10389,4.8246E-04,0.00006241,0.0003625656,0.7510
1762,0.1761,1250,0.10392,4.8281E-04,0.00006243,0.0003628352,0.7510
1763,0.1760,1250,0.10395,4.8317E-04,0.00006245,0.0003631048,0.7510
1764,0.1759,1250,0.10398,4.8352E-04,0.00006246,0.0003633744,0.7510
1765,0.1758,1250,0.10401,4.8387E-04,0.00006248,0.000363644,0.7510
1766,0.1758,1250,0.10404,4.8422E-04,0.00006250,0.0003639136,0.7510
1767,0.1757,1250,0.10407,4.8457E-04,0.00006251,0.0003641832,0.7511
1768,0.1756,1250,0.10411,4.8492E-04,0.00006253,0.0003644528,0.7511
1769,0.1755,1250,0.10414,4.8527E-04,0.00006254,0.0003647224,0.7511
1770,0.1754,1250,0.10417,4.8562E-04,0.00006256,0.000364992,0.7511
1771,0.1753,1250,0.10420,4.8598E-04,0.00006258,0.0003652616,0.7511
1772,0.1752,1250,0.10423,4.8633E-04,0.00006259,0.0003655312,0.7511
1773,0.1751,1250,0.10426,4.8668E-04,0.00006261,0.0003658008,0.7511
1774,0.1751,1250,0.10429,4.8703E-04,0.00006263,0.0003660704,0.7511
1775,0.1750,1251,0.10432,4.8738E-04,0.00006264,0.00036634,0.7512
1776,0.1749,1251,0.10435,4.8773E-04,0.00006266,0.0003666096,0.7512
1777,0.1748,1251,0.10438,4.8808E-04,0.00006267,0.0003668792,0.7512
1778,0.1747,1251,0.10441,4.8843E-04,0.00006269,0.0003671488,0.7512
1779,0.1746,1251,0.10444,4.8878E-04,0.00006271,0.0003674184,0.7512
1780,0.1745,1251,0.10447,4.8914E-04,0.00006272,0.000367688,0.7512
1781,0.1744,1251,0.10450,4.8949E-04,0.00006274,0.0003679576,0.7512
1782,0.1744,1251,0.10453,4.8984E-04,0.00006276,0.0003682272,0.7512
1783,0.1743,1251,0.10456,4.9019E-04,0.00006277,0.0003684968,0.7513
1784,0.1742,1251,0.10459,4.9054E-04,0.00006279,0.0003687664,0.7513
1785,0.1741,1251,0.10462,4.9089E-04,0.00006280,0.000369036,0.7513
1786,0.1740,1251,0.10465,4.9124E-04,0.00006282,0.0003693056,0.7513
1787,0.1739,1251,0.10468,4.9159E-04,0.00006284,0.0003695752,0.7513
1788,0.1738,1251,0.10471,4.9195E-04,0.00006285,0.0003698448,0.7513
1789,0.1737,1251,0.10474,4.9230E-04,0.00006287,0.0003701144,0.7513
1790,0.1737,1251,0.10477,4.9265E-04,0.00006289,0.000370384,0.7513
1791,0.1736,1251,0.10480,4.9300E-04,0.00006290,0.0003706536,0.7514
1792,0.1735,1252,0.10483,4.9335E-04,0.00006292,0.0003709232,0.7514
1793,0.1734,1252,0.10486,4.9370E-04,0.00006293,0.0003711928,0.7514
1794,0.1733,1252,0.10489,4.9405E-04,0.00006295,0.0003714624,0.7514
1795,0.1732,1252,0.10492,4.9440E-04,0.00006297,0.000371732,0.7514
1796,0.1731,1252,0.10495,4.9476E-04,0.00006298,0.0003720016,0.7514
1797,0.1730,1252,0.10498,4.9511E-04,0.00006300,0.0003722712,0.7514
1798,0.1730,1252,0.10501,4.9546E-04,0.00006302,0.0003725408,0.7514
1799,0.1729,1252,0.10504,4.9581E-04,0.00006303,0.0003728104,0.7514
1800,0.1728,1252,0.10507,4.9616E-04,0.00006305,0.00037308,0.7515
1801,0.1727,1252,0.10510,4.9651E-04,0.00006306,0.0003733496,0.7515
1802,0.1726,1252,0.10513,4.9686E-04,0.00006308,0.0003736192,0.7515
1803,0.1725,1252,0.10516,4.9721E-04,0.00006310,0.0003738888,0.7515
